"model","chunk_words","overlap_words","k","split","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question","questions","recall_at_k","recall_ci_low","recall_ci_high","page_recall_at_k","mrr_at_k","context_truncation_risk"
"all-minilm","200","0","1","all","384","512","286","7.897197","0.440551","0.156294","50","0.46","0.3296943460178263","0.5960136567161192","0.64","0.46","False"
"all-minilm","200","0","3","all","384","512","286","7.897197","0.440551","0.156294","50","0.62","0.4815019502239357","0.7413740415742278","0.84","0.54","False"
"all-minilm","200","0","5","all","384","512","286","7.897197","0.440551","0.156294","50","0.66","0.5215356854148285","0.7756323036493895","0.88","0.5479999999999999","False"
"all-minilm","200","0","10","all","384","512","286","7.897197","0.440551","0.156294","50","0.74","0.6044657801100008","0.8412862034863262","0.96","0.5583333333333333","False"
"all-minilm","200","50","1","all","384","512","381","9.993271","0.440551","0.006008","50","0.56","0.4230578680014353","0.6883801278976466","0.62","0.56","False"
"all-minilm","200","50","3","all","384","512","381","9.993271","0.440551","0.006008","50","0.72","0.5833461285401034","0.8252598564231963","0.86","0.6266666666666666","False"
"all-minilm","200","50","5","all","384","512","381","9.993271","0.440551","0.006008","50","0.78","0.6475818431054045","0.8724621377569771","0.9","0.6396666666666666","False"
"all-minilm","200","50","10","all","384","512","381","9.993271","0.440551","0.006008","50","0.88","0.7619492111337642","0.9438247628937535","0.98","0.6540714285714284","False"
"all-minilm","200","100","1","all","384","512","570","14.860091","0.440551","0.009421","50","0.52","0.3851151225880844","0.6520308760449429","0.64","0.52","False"
"all-minilm","200","100","3","all","384","512","570","14.860091","0.440551","0.009421","50","0.74","0.6044657801100008","0.8412862034863262","0.86","0.62","False"
"all-minilm","200","100","5","all","384","512","570","14.860091","0.440551","0.009421","50","0.78","0.6475818431054045","0.8724621377569771","0.92","0.629","False"
"all-minilm","200","100","10","all","384","512","570","14.860091","0.440551","0.009421","50","0.88","0.7619492111337642","0.9438247628937535","0.96","0.6421904761904762","False"
"all-minilm","400","0","1","all","384","512","143","6.149546","0.440551","0.002901","50","0.48","0.3479691239550571","0.6148848774119157","0.52","0.48","True"
"all-minilm","400","0","3","all","384","512","143","6.149546","0.440551","0.002901","50","0.68","0.5418944286372394","0.792419559060006","0.76","0.56","True"
"all-minilm","400","0","5","all","384","512","143","6.149546","0.440551","0.002901","50","0.76","0.6258705062480763","0.8570274759812779","0.86","0.579","True"
"all-minilm","400","0","10","all","384","512","143","6.149546","0.440551","0.002901","50","0.86","0.738135428014719","0.9304925473797714","0.96","0.5905238095238095","True"
"all-minilm","400","50","1","all","384","512","163","6.936253","0.440551","0.00334","50","0.5","0.36644286412332855","0.6335571358766714","0.58","0.5","True"
"all-minilm","400","50","3","all","384","512","163","6.936253","0.440551","0.00334","50","0.72","0.5833461285401034","0.8252598564231963","0.82","0.5966666666666666","True"
"all-minilm","400","50","5","all","384","512","163","6.936253","0.440551","0.00334","50","0.86","0.738135428014719","0.9304925473797714","0.92","0.6306666666666666","True"
"all-minilm","400","50","10","all","384","512","163","6.936253","0.440551","0.00334","50","0.94","0.8378265662912299","0.9793854036353695","0.98","0.641079365079365","True"
"all-minilm","400","100","1","all","384","512","190","8.233976","0.440551","0.003033","50","0.54","0.40398634328388083","0.6703056539821737","0.6","0.54","True"
"all-minilm","400","100","3","all","384","512","190","8.233976","0.440551","0.003033","50","0.72","0.5833461285401034","0.8252598564231963","0.8","0.6133333333333334","True"
"all-minilm","400","100","5","all","384","512","190","8.233976","0.440551","0.003033","50","0.78","0.6475818431054045","0.8724621377569771","0.86","0.6273333333333333","True"
"all-minilm","400","100","10","all","384","512","190","8.233976","0.440551","0.003033","50","0.88","0.7619492111337642","0.9438247628937535","0.96","0.6413333333333335","True"
"all-minilm","800","0","1","all","384","512","72","3.085697","0.440551","0.00377","50","0.36","0.24138562967182875","0.49859237989698046","0.42","0.36","True"
"all-minilm","800","0","3","all","384","512","72","3.085697","0.440551","0.00377","50","0.48","0.3479691239550571","0.6148848774119157","0.6","0.41","True"
"all-minilm","800","0","5","all","384","512","72","3.085697","0.440551","0.00377","50","0.7","0.562493877226366","0.8089661091039063","0.74","0.45899999999999996","True"
"all-minilm","800","0","10","all","384","512","72","3.085697","0.440551","0.00377","50","0.84","0.7148551903823401","0.9166267863791231","0.88","0.4779444444444444","True"
"all-minilm","800","50","1","all","384","512","77","3.281024","0.440551","0.002306","50","0.42","0.2937479723456693","0.5576680331222217","0.5","0.42","True"
"all-minilm","800","50","3","all","384","512","77","3.281024","0.440551","0.002306","50","0.56","0.4230578680014353","0.6883801278976466","0.72","0.4833333333333333","True"
"all-minilm","800","50","5","all","384","512","77","3.281024","0.440551","0.002306","50","0.68","0.5418944286372394","0.792419559060006","0.82","0.5123333333333333","True"
"all-minilm","800","50","10","all","384","512","77","3.281024","0.440551","0.002306","50","0.78","0.6475818431054045","0.8724621377569771","0.9","0.5252698412698412","True"
"all-minilm","800","100","1","all","384","512","82","3.403141","0.440551","0.002189","50","0.4","0.2760818978624575","0.5381881089724063","0.52","0.4","True"
"all-minilm","800","100","3","all","384","512","82","3.403141","0.440551","0.002189","50","0.66","0.5215356854148285","0.7756323036493895","0.72","0.5233333333333333","True"
"all-minilm","800","100","5","all","384","512","82","3.403141","0.440551","0.002189","50","0.68","0.5418944286372394","0.792419559060006","0.76","0.5273333333333333","True"
"all-minilm","800","100","10","all","384","512","82","3.403141","0.440551","0.002189","50","0.76","0.6258705062480763","0.8570274759812779","0.86","0.5401904761904762","True"
"embeddinggemma","200","0","1","all","768","2048","286","60.622291","2.780771","0.005866","50","0.62","0.4815019502239357","0.7413740415742278","0.78","0.62","False"
"embeddinggemma","200","0","3","all","768","2048","286","60.622291","2.780771","0.005866","50","0.78","0.6475818431054045","0.8724621377569771","0.92","0.69","False"
"embeddinggemma","200","0","5","all","768","2048","286","60.622291","2.780771","0.005866","50","0.82","0.6920368054529739","0.902299172675462","0.96","0.6990000000000001","False"
"embeddinggemma","200","0","10","all","768","2048","286","60.622291","2.780771","0.005866","50","0.84","0.7148551903823401","0.9166267863791231","0.96","0.7010000000000001","False"
"embeddinggemma","200","50","1","all","768","2048","381","79.466947","2.780771","0.006798","50","0.7","0.562493877226366","0.8089661091039063","0.82","0.7","False"
"embeddinggemma","200","50","3","all","768","2048","381","79.466947","2.780771","0.006798","50","0.9","0.7863950966521162","0.956524876008429","0.96","0.79","False"
"embeddinggemma","200","50","5","all","768","2048","381","79.466947","2.780771","0.006798","50","0.96","0.8653966212204534","0.9889613473391734","0.98","0.8039999999999999","False"
"embeddinggemma","200","50","10","all","768","2048","381","79.466947","2.780771","0.006798","50","0.96","0.8653966212204534","0.9889613473391734","0.98","0.8039999999999999","False"
"embeddinggemma","200","100","1","all","768","2048","570","115.673179","2.780771","0.009083","50","0.68","0.5418944286372394","0.792419559060006","0.78","0.68","False"
"embeddinggemma","200","100","3","all","768","2048","570","115.673179","2.780771","0.009083","50","0.92","0.8116149745493629","0.9684509967442093","0.96","0.79","False"
"embeddinggemma","200","100","5","all","768","2048","570","115.673179","2.780771","0.009083","50","0.96","0.8653966212204534","0.9889613473391734","0.98","0.799","False"
"embeddinggemma","200","100","10","all","768","2048","570","115.673179","2.780771","0.009083","50","0.96","0.8653966212204534","0.9889613473391734","0.98","0.799","False"
"embeddinggemma","400","0","1","all","768","2048","143","85.532502","2.780771","0.003728","50","0.52","0.3851151225880844","0.6520308760449429","0.68","0.52","False"
"embeddinggemma","400","0","3","all","768","2048","143","85.532502","2.780771","0.003728","50","0.74","0.6044657801100008","0.8412862034863262","0.84","0.6233333333333333","False"
"embeddinggemma","400","0","5","all","768","2048","143","85.532502","2.780771","0.003728","50","0.82","0.6920368054529739","0.902299172675462","0.88","0.6413333333333333","False"
"embeddinggemma","400","0","10","all","768","2048","143","85.532502","2.780771","0.003728","50","0.9","0.7863950966521162","0.956524876008429","0.96","0.6528809523809522","False"
"embeddinggemma","400","50","1","all","768","2048","163","61.156981","2.780771","0.004945","50","0.6","0.4618118910275937","0.7239181021375425","0.7","0.6","False"
"embeddinggemma","400","50","3","all","768","2048","163","61.156981","2.780771","0.004945","50","0.76","0.6258705062480763","0.8570274759812779","0.84","0.6766666666666665","False"
"embeddinggemma","400","50","5","all","768","2048","163","61.156981","2.780771","0.004945","50","0.88","0.7619492111337642","0.9438247628937535","0.88","0.7046666666666667","False"
"embeddinggemma","400","50","10","all","768","2048","163","61.156981","2.780771","0.004945","50","0.92","0.8116149745493629","0.9684509967442093","0.94","0.7108571428571427","False"
"embeddinggemma","400","100","1","all","768","2048","190","74.482907","2.780771","0.004191","50","0.54","0.40398634328388083","0.6703056539821737","0.68","0.54","False"
"embeddinggemma","400","100","3","all","768","2048","190","74.482907","2.780771","0.004191","50","0.8","0.6696262789551477","0.8875637005402612","0.86","0.6466666666666666","False"
"embeddinggemma","400","100","5","all","768","2048","190","74.482907","2.780771","0.004191","50","0.82","0.6920368054529739","0.902299172675462","0.9","0.6506666666666666","False"
"embeddinggemma","400","100","10","all","768","2048","190","74.482907","2.780771","0.004191","50","0.9","0.7863950966521162","0.956524876008429","0.94","0.6626904761904762","False"
"embeddinggemma","800","0","1","all","768","2048","72","60.168789","2.780771","0.002462","50","0.62","0.4815019502239357","0.7413740415742278","0.62","0.62","False"
"embeddinggemma","800","0","3","all","768","2048","72","60.168789","2.780771","0.002462","50","0.78","0.6475818431054045","0.8724621377569771","0.78","0.6933333333333332","False"
"embeddinggemma","800","0","5","all","768","2048","72","60.168789","2.780771","0.002462","50","0.88","0.7619492111337642","0.9438247628937535","0.9","0.7183333333333333","False"
"embeddinggemma","800","0","10","all","768","2048","72","60.168789","2.780771","0.002462","50","0.94","0.8378265662912299","0.9793854036353695","0.96","0.7270238095238095","False"
"embeddinggemma","800","50","1","all","768","2048","77","62.272655","2.780771","0.002407","50","0.5","0.36644286412332855","0.6335571358766714","0.62","0.5","False"
"embeddinggemma","800","50","3","all","768","2048","77","62.272655","2.780771","0.002407","50","0.78","0.6475818431054045","0.8724621377569771","0.88","0.6133333333333334","False"
"embeddinggemma","800","50","5","all","768","2048","77","62.272655","2.780771","0.002407","50","0.84","0.7148551903823401","0.9166267863791231","0.92","0.6273333333333333","False"
"embeddinggemma","800","50","10","all","768","2048","77","62.272655","2.780771","0.002407","50","0.92","0.8116149745493629","0.9684509967442093","0.98","0.6401904761904763","False"
"embeddinggemma","800","100","1","all","768","2048","82","65.860593","2.780771","0.002484","50","0.54","0.40398634328388083","0.6703056539821737","0.62","0.54","False"
"embeddinggemma","800","100","3","all","768","2048","82","65.860593","2.780771","0.002484","50","0.78","0.6475818431054045","0.8724621377569771","0.82","0.6366666666666666","False"
"embeddinggemma","800","100","5","all","768","2048","82","65.860593","2.780771","0.002484","50","0.84","0.7148551903823401","0.9166267863791231","0.88","0.6506666666666666","False"
"embeddinggemma","800","100","10","all","768","2048","82","65.860593","2.780771","0.002484","50","0.88","0.7619492111337642","0.9438247628937535","0.92","0.6560238095238095","False"
"mxbai-embed-large","200","0","1","all","1024","512","286","130.827152","2.672203","0.006226","50","0.56","0.4230578680014353","0.6883801278976466","0.72","0.56","False"
"mxbai-embed-large","200","0","3","all","1024","512","286","130.827152","2.672203","0.006226","50","0.72","0.5833461285401034","0.8252598564231963","0.96","0.64","False"
"mxbai-embed-large","200","0","5","all","1024","512","286","130.827152","2.672203","0.006226","50","0.78","0.6475818431054045","0.8724621377569771","0.98","0.653","False"
"mxbai-embed-large","200","0","10","all","1024","512","286","130.827152","2.672203","0.006226","50","0.82","0.6920368054529739","0.902299172675462","1.0","0.6578571428571428","False"
